player_name,feet,inches,weight(lbs.),college,high_school_name,high_school_state,draft_team,draft_info,birthday
Terry McLaurin,6,0,210,Ohio St.,Cathedral,IN,Washington Redskins,Draft: Washington Redskins in the 3rd round (76th overall) of the 2019 NFL Draft.,
Tony Martin,6,0,181,Bishop,Miami Northeastern,FL,New York Jets,Draft: New York Jets in the 5th round (126th overall) of the 1989 NFL Draft.,
Corey Coleman,5,11,185,Baylor,J.J. Pearce,TX,Cleveland Browns,Draft: Cleveland Browns in the 1st round (15th overall) of the 2016 NFL Draft.,
Alexander Mattison,5,11,215,Boise St.,San Bernardino,CA,Minnesota Vikings,Draft: Minnesota Vikings in the 3rd round (102nd overall) of the 2019 NFL Draft.,
Michael Carter,,,,,,,,,
Brad Johnson,6,5,235,Florida St.,Charles D. Owen,NC,Minnesota Vikings,Draft: Minnesota Vikings in the 9th round (227th overall) of the 1992 NFL Draft.,
David Patten,5,10,190,Western Carolina,Lower Richland,SC,,,
Najee Harris,6,1,242,Alabama,Antioch,CA,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 1st round (24th overall) of the 2021 NFL Draft.,
JaMarcus Russell,6,6,265,LSU,Williamson,AL,Oakland Raiders,Draft: Oakland Raiders in the 1st round (1st overall) of the 2007 NFL Draft.,
Jason Witten,6,6,263,Tennessee,Elizabethton,TN,Dallas Cowboys,Draft: Dallas Cowboys in the 3rd round (69th overall) of the 2003 NFL Draft.,
Kevin Curtis,6,0,186,Snow College (UT),Bingham,UT,St. Louis Rams,Draft: St. Louis Rams in the 3rd round (74th overall) of the 2003 NFL Draft.,
Marcus Pollard,6,3,248,Bradley,Valley,AL,,,
Maurice Smith,6,0,235,North Carolina A&T,S.E. Halifax,NC,NA,,9/7/1976
Andrew Hawkins,5,7,175,Toledo,Bishop McCort,PA,,,
Trung Canidate,5,11,205,Arizona,Central,AZ,St. Louis Rams,Draft: St. Louis Rams in the 1st round (31st overall) of the 2000 NFL Draft.,
Anthony Fasano,6,4,258,Notre Dame,Verona,NJ,Dallas Cowboys,Draft: Dallas Cowboys in the 2nd round (53rd overall) of the 2006 NFL Draft.,
Reggie Wayne,6,0,203,Miami (FL),John Ehret,LA,Indianapolis Colts,Draft: Indianapolis Colts in the 1st round (30th overall) of the 2001 NFL Draft.,
Daunte Culpepper,6,4,260,Central Florida,Vanguard,FL,Minnesota Vikings,Draft: Minnesota Vikings in the 1st round (11th overall) of the 1999 NFL Draft.,
Greg Olsen,6,5,255,Miami (FL),Wayne Hills,NJ,Chicago Bears,Draft: Chicago Bears in the 1st round (31st overall) of the 2007 NFL Draft.,
Tucker Kraft,6,5,259,South Dakota St.,Timber Lake,SD,Green Bay Packers,Draft: Green Bay Packers in the 3rd round (78th overall) of the 2023 NFL Draft.,
Denarius Moore,6,0,195,Tennessee,Tatum,TX,Oakland Raiders,Draft: Oakland Raiders in the 5th round (148th overall) of the 2011 NFL Draft.,
Allen Hurns,6,3,195,Miami (FL),Carol City,FL,,,
Jarvis Landry,5,11,196,LSU,Lutcher,LA,Miami Dolphins,Draft: Miami Dolphins in the 2nd round (63rd overall) of the 2014 NFL Draft.,
Travis Etienne,5,10,215,Clemson,Jennings,LA,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 1st round (25th overall) of the 2021 NFL Draft.,
Mike Goodson,5,11,195,Texas A&M,Klein Collins,TX,Carolina Panthers,Draft: Carolina Panthers in the 4th round (111th overall) of the 2009 NFL Draft.,
Roscoe Parrish,5,9,175,Miami (FL),Miami Senior,FL,Buffalo Bills,Draft: Buffalo Bills in the 2nd round (55th overall) of the 2005 NFL Draft.,
Mike Glennon,6,7,225,North Carolina St.,Westfield,VA,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 3rd round (73rd overall) of the 2013 NFL Draft.,
Quincy Morgan,6,1,215,Blinn College (TX),South Garland,TX,Cleveland Browns,Draft: Cleveland Browns in the 2nd round (33rd overall) of the 2001 NFL Draft.,
Andrew Quarless,6,4,248,Penn St.,Uniondale,NY,Green Bay Packers,Draft: Green Bay Packers in the 5th round (154th overall) of the 2010 NFL Draft.,
Antowain Smith,6,2,232,East Mississippi CC,Elmore Co.,AL,Buffalo Bills,Draft: Buffalo Bills in the 1st round (23rd overall) of the 1997 NFL Draft.,
Marshall Faulk,5,10,211,San Diego St.,George Washington Carver,LA,Indianapolis Colts,Draft: Indianapolis Colts in the 1st round (2nd overall) of the 1994 NFL Draft.,
Ameer Abdullah,5,9,203,Nebraska,Homewood,AL,Detroit Lions,Draft: Detroit Lions in the 2nd round (54th overall) of the 2015 NFL Draft.,
Nelson Agholor,6,0,200,USC,Berkeley Prep,FL,Philadelphia Eagles,Draft: Philadelphia Eagles in the 1st round (20th overall) of the 2015 NFL Draft.,
Allen Lazard,6,5,227,Iowa St.,Urbandale,IA,,Pronunciation: \luh-ZARD\,
Chris Givens,5,11,198,Wake Forest,Wylie,TX,St. Louis Rams,Draft: St. Louis Rams in the 4th round (96th overall) of the 2012 NFL Draft.,12/6/1989
Charles Lee,,,,,,,,,
Raghib Ismail,5,11,180,Notre Dame,Elmer L. Meyers,PA,Los Angeles Raiders,Draft: Los Angeles Raiders in the 4th round (100th overall) of the 1991 NFL Draft.,
David Boston,6,2,240,Ohio St.,Humble,TX,Arizona Cardinals,Draft: Arizona Cardinals in the 1st round (8th overall) of the 1999 NFL Draft.,
Will Levis,6,4,229,Penn St.,Xavier,CT,Tennessee Titans,Draft: Tennessee Titans in the 2nd round (33rd overall) of the 2023 NFL Draft.,
CeeDee Lamb,6,2,200,Oklahoma,Foster,TX,Dallas Cowboys,Draft: Dallas Cowboys in the 1st round (17th overall) of the 2020 NFL Draft.,
Plaxico Burress,6,5,232,Michigan St.,Green Run,VA,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 1st round (8th overall) of the 2000 NFL Draft.,
Doug Martin,5,9,210,Boise St.,St. Mary's,CA,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 1st round (31st overall) of the 2012 NFL Draft.,1/13/1989
Marquez Callaway,6,2,204,Tennessee,Warner Robins,GA,,Pronunciation: \mar-QWUEZ\,
Josh Gordon,6,3,225,Utah,Lamar,TX,Cleveland Browns,Draft: Cleveland Browns in the 2nd round (1st overall) of the 2012 NFL Supplemental Draft.,
Zay Jones,6,2,200,East Carolina,Stephen F. Austin,TX,Buffalo Bills,Draft: Buffalo Bills in the 2nd round (37th overall) of the 2017 NFL Draft.,
James Jones,6,1,208,San Jose St.,Gunderson,CA,Green Bay Packers,Draft: Green Bay Packers in the 3rd round (78th overall) of the 2007 NFL Draft,3/31/1984
Will Fuller,6,1,184,Notre Dame,Roman Catholic,PA,Houston Texans,Draft: Houston Texans in the 1st round (21st overall) of the 2016 NFL Draft.,4/16/1994
David Gettis,6,3,217,Baylor,Susan Miller Dorsey,CA,Carolina Panthers,Draft: Carolina Panthers in the 6th round (198th overall) of the 2010 NFL Draft.,
Troy Brown,5,10,196,Marshall,Hilda,SC,New England Patriots,Draft: New England Patriots in the 8th round (198th overall) of the 1993 NFL Draft.,
Scott Vines,6,2,205,Wyoming,Benjamin Russell,AL,,,
Kevin Faulk,5,8,202,LSU,Carencro,LA,New England Patriots,Draft: New England Patriots in the 2nd round (46th overall) of the 1999 NFL Draft.,
J.K. Dobbins,5,10,215,Ohio St.,La Grange,TX,Baltimore Ravens,Draft: Baltimore Ravens in the 2nd round (55th overall) of the 2020 NFL Draft.,
Rashaad Penny,5,11,220,San Diego St.,Norwalk,CA,Seattle Seahawks,Draft: Seattle Seahawks in the 1st round (27th overall) of the 2018 NFL Draft.,
David LaFleur,6,7,272,LSU,Westlake,LA,Dallas Cowboys,Draft: Dallas Cowboys in the 1st round (22nd overall) of the 1997 NFL Draft.,
Kenny Britt,6,3,230,Rutgers,Bayonne,NJ,Tennessee Titans,Draft: Tennessee Titans in the 1st round (30th overall) of the 2009 NFL Draft.,
Lee Suggs,6,0,210,Virginia Tech,William Fleming,VA,Cleveland Browns,Draft: Cleveland Browns in the 4th round (115th overall) of the 2003 NFL Draft.,
Dameon Pierce,5,10,218,Florida,Bainbridge,GA,Houston Texans,Draft: Houston Texans in the 4th round (107th overall) of the 2022 NFL Draft.,
Trent Taylor,5,8,178,Louisiana Tech,Evangel Christian Academy,LA,San Francisco 49ers,Draft: San Francisco 49ers in the 5th round (177th overall) of the 2017 NFL Draft.,
Jeff King,6,3,260,Virginia Tech,Pulaski,VA,Carolina Panthers,Draft: Carolina Panthers in the 5th round (155th overall) of the 2006 NFL Draft.,
Samie Parker,5,11,180,Oregon,Long Beach Polytechnic,CA,Kansas City Chiefs,Draft: Kansas City Chiefs in the 4th round (105th overall) of the 2004 NFL Draft.,
Michael Wilson,,,,,,,,,
Early Doucet,6,0,211,LSU,St. Martinville,LA,Arizona Cardinals,Draft: Arizona Cardinals in the 3rd round (81st overall) of the 2008 NFL Draft.,
Richie James,,,,,,,,,
Damian Williams,6,1,190,USC,Springdale,AR,Tennessee Titans,Draft: Tennessee Titans in the 3rd round (77th overall) of the 2010 NFL Draft.,
Robbie Chosen,6,3,185,Temple,South Plantation,FL,,"Note: formerly known as Robby Anderson, Robbie Anderson",
Charlie Batch,6,2,216,Eastern Michigan,Steel Valley,PA,Detroit Lions,Draft: Detroit Lions in the 2nd round (60th overall) of the 1998 NFL Draft.,
Hines Ward,6,0,205,Georgia,Forest Park,GA,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 3rd round (92nd overall) of the 1998 NFL Draft.,
Michael Pittman,,,,,,,,,
Dak Prescott,6,2,238,Mississippi St.,Haughton,LA,Dallas Cowboys,Draft: Dallas Cowboys in the 4th round (135th overall) of the 2016 NFL Draft.,
Brian Finneran,6,5,210,Villanova,Santa Margarita Catholic,CA,,,
Stanley Pritchett,6,2,250,South Carolina,Frederick Douglass,GA,Miami Dolphins,Draft: Miami Dolphins in the 4th round (118th overall) of the 1996 NFL Draft.,
Robert Ferguson,,,,,,,,,
Joseph Addai,5,11,214,LSU,Sharpstown,TX,Indianapolis Colts,Draft: Indianapolis Colts in the 1st round (30th overall) of the 2006 NFL Draft.,
Clive Walford,6,4,252,Miami (FL),Glades Central,FL,Oakland Raiders,Draft: Oakland Raiders in the 3rd round (68th overall) of the 2015 NFL Draft.,
Justin McCareins,6,2,215,Northern Illinois,Naperville North,IL,Tennessee Titans,Draft: Tennessee Titans in the 4th round (124th overall) of the 2001 NFL Draft.,
Matt Breida,5,10,195,Georgia Southern,Nature Coast Technical,FL,,,
Louis Murphy,6,2,200,Florida,Lakewood,FL,Oakland Raiders,Draft: Oakland Raiders in the 4th round (124th overall) of the 2009 NFL Draft.,
Dwayne Haskins,6,4,230,Ohio St.,Bullis School,MD,Washington Redskins,Draft: Washington Redskins in the 1st round (15th overall) of the 2019 NFL Draft.,
Derick Armstrong,6,2,211,Arkansasâ€“Monticello,Jasper,TX,,,
Kerry Collins,6,5,247,Penn St.,Wilson,PA,Carolina Panthers,Draft: Carolina Panthers in the 1st round (5th overall) of the 1995 NFL Draft.,
Danny Amendola,5,11,185,Texas Tech,The Woodlands,TX,,Pronunciation: \am-men-DOLE-uh\,
Clyde Edwards-Helaire,5,7,207,LSU,Baton Rouge Catholic,LA,Kansas City Chiefs,Draft: Kansas City Chiefs in the 1st round (32nd overall) of the 2020 NFL Draft.,
Martavis Bryant,6,4,210,Clemson,T.L. Hanna,SC,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 4th round (118th overall) of the 2014 NFL Draft.,
Ito Smith,5,9,195,Southern Miss,McGill-Toolen Catholic,AL,Atlanta Falcons,Draft: Atlanta Falcons in the 4th round (126th overall) of the 2018 NFL Draft.,
Mike Evans,6,5,231,Texas A&M,Ball,TX,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 1st round (7th overall) of the 2014 NFL Draft.,8/21/1993
Olandis Gary,5,11,218,Marshall,Riverdale Baptist,MD,Denver Broncos,Draft: Denver Broncos in the 4th round (127th overall) of the 1999 NFL Draft.,
Ronnie Brown,6,0,223,Auburn,Cartersville,GA,Miami Dolphins,Draft: Miami Dolphins in the 1st round (2nd overall) of the 2005 NFL Draft.,
Zach Zenner,5,11,224,South Dakota St.,Eagan,MN,,,
Mac Jones,6,3,220,Alabama,The Bolles School,FL,New England Patriots,Draft: New England Patriots in the 1st round (15th overall) of the 2021 NFL Draft.,
Bo Scaife,6,3,249,Texas,Mullen,CO,Tennessee Titans,Draft: Tennessee Titans in the 6th round (179th overall) of the 2005 NFL Draft.,
Todd Gurley,6,1,224,Georgia,Tarboro,NC,St. Louis Rams,Draft: St. Louis Rams in the 1st round (10th overall) of the 2015 NFL Draft.,
Daniel Fells,6,4,260,UC Davis,Fullerton Union,CA,,,
Eric Moulds,6,2,210,Mississippi St.,George Co.,MS,Buffalo Bills,Draft: Buffalo Bills in the 1st round (24th overall) of the 1996 NFL Draft.,
Qadry Ismail,6,0,196,Syracuse,Elmer L. Meyers,PA,Minnesota Vikings,Draft: Minnesota Vikings in the 2nd round (52nd overall) of the 1993 NFL Draft.,
Brandon Stokley,6,0,194,Louisiana,Comeaux,LA,Baltimore Ravens,Draft: Baltimore Ravens in the 4th round (105th overall) of the 1999 NFL Draft.,
Josh Allen,,,,,,,,,
Jerome Pathon,6,0,182,Acadia (Canada),Carson Graham Secondary School,Canada,Indianapolis Colts,Draft: Indianapolis Colts in the 2nd round (32nd overall) of the 1998 NFL Draft.,
Toby Gerhart,6,0,234,Stanford,Norco,CA,Minnesota Vikings,Draft: Minnesota Vikings in the 2nd round (51st overall) of the 2010 NFL Draft.,
Brian Hoyer,6,2,215,Michigan St.,St. Ignatius,OH,,"Twitter:
@bhoyer7
",
David Terrell,6,3,212,Michigan,Huguenot,VA,Chicago Bears,Draft: Chicago Bears in the 1st round (8th overall) of the 2001 NFL Draft.,3/13/1979
D.J. Hackett,6,2,199,Northern State Univ.,San Dimas,CA,Seattle Seahawks,Draft: Seattle Seahawks in the 5th round (157th overall) of the 2004 NFL Draft.,
Jeremy Maclin,6,0,200,Missouri,Kirkwood,MO,Philadelphia Eagles,Draft: Philadelphia Eagles in the 1st round (19th overall) of the 2009 NFL Draft.,
Jaylen Waddle,5,10,185,Alabama,Episcopal,TX,Miami Dolphins,Draft: Miami Dolphins in the 1st round (6th overall) of the 2021 NFL Draft.,
Bobby Rainey,5,8,205,Western Kentucky,Griffin,GA,,,
Cameron Meredith,6,3,207,Illinois St.,St. Joseph,IL,,,
Donald Jones,,,,,,,,,
Jamel White,5,9,222,South Dakota,Palmdale,CA,,,
Beanie Wells,6,1,235,Ohio St.,Garfield,OH,Arizona Cardinals,Draft: Arizona Cardinals in the 1st round (31st overall) of the 2009 NFL Draft.,
Jacquez Green,5,10,172,Florida,Peach Co.,GA,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 2nd round (34th overall) of the 1998 NFL Draft.,
Kenny Watson,6,0,218,Penn St.,Harrisburg,PA,,,
Rickey Dudley,6,6,255,Ohio St.,Henderson,TX,Oakland Raiders,Draft: Oakland Raiders in the 1st round (9th overall) of the 1996 NFL Draft.,
Roy Helu,6,0,216,Nebraska,San Ramon Valley,CA,Washington Redskins,Draft: Washington Redskins in the 4th round (105th overall) of the 2011 NFL Draft.,
Kellen Winslow,,,,,,,,,
Larry Donnell,,,,,,,,,
Laurence Maroney,5,11,220,Minnesota,Normandy,MO,New England Patriots,Draft: New England Patriots in the 1st round (21st overall) of the 2006 NFL Draft.,
Reggie Bush,6,0,205,USC,Helix,CA,New Orleans Saints,Draft: New Orleans Saints in the 1st round (2nd overall) of the 2006 NFL Draft.,
Aaron Dobson,6,3,210,Marshall,South Charleston,WV,New England Patriots,Draft: New England Patriots in the 2nd round (59th overall) of the 2013 NFL Draft.,
Dontayvion Wicks,6,1,206,Virginia,Plaquemine,LA,Green Bay Packers,Draft: Green Bay Packers in the 5th round (159th overall) of the 2023 NFL Draft.,
Jakobi Meyers,6,2,200,North Carolina St.,Arabia Mountain,GA,,,
Donald Driver,6,0,194,Alcorn St.,Milby,TX,Green Bay Packers,Draft: Green Bay Packers in the 7th round (213th overall) of the 1999 NFL Draft.,
Dion Sims,6,4,268,Michigan St.,St. Mary's Prep,MI,Miami Dolphins,Draft: Miami Dolphins in the 4th round (106th overall) of the 2013 NFL Draft.,
Jalen Guyton,6,1,212,North Texas,Allen,TX,,,
Tutu Atwell,5,9,165,Louisville,Miami Northwestern,FL,Los Angeles Rams,Draft: Los Angeles Rams in the 2nd round (57th overall) of the 2021 NFL Draft.,
Kyle Orton,6,4,228,Purdue,Southeast Polk,IA,Chicago Bears,Draft: Chicago Bears in the 4th round (106th overall) of the 2005 NFL Draft.,
Wayne Gallman,6,0,210,Clemson,Grayson,GA,New York Giants,Draft: New York Giants in the 4th round (140th overall) of the 2017 NFL Draft.,
Donnie Avery,5,11,186,Houston,Hastings,TX,St. Louis Rams,Draft: St. Louis Rams in the 2nd round (33rd overall) of the 2008 NFL Draft.,
Matthew Stafford,6,3,220,Georgia,Highland Park,TX,Detroit Lions,Draft: Detroit Lions in the 1st round (1st overall) of the 2009 NFL Draft.,
Anthony Gonzalez,6,0,193,Ohio St.,St. Ignatius,OH,Indianapolis Colts,Draft: Indianapolis Colts in the 1st round (32nd overall) of the 2007 NFL Draft.,9/18/1984
Michael Clayton,6,3,202,LSU,Christian Life Academy,LA,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 1st round (15th overall) of the 2004 NFL Draft.,
Justin Armour,6,4,210,Stanford,Manitou Springs,CO,Buffalo Bills,Draft: Buffalo Bills in the 4th round (113th overall) of the 1995 NFL Draft.,
Quentin Johnston,6,4,215,TCU,Temple,TX,Los Angeles Chargers,Draft: Los Angeles Chargers in the 1st round (21st overall) of the 2023 NFL Draft.,
Antonio Gibson,6,2,220,Memphis,Eagle's Landing Christian,GA,Washington Football Team,Draft: Washington Football Team in the 3rd round (66th overall) of the 2020 NFL Draft.,6/23/1998
LaRod Stephens-Howling,5,7,180,Pittsburgh,Greater Johnstown,PA,Arizona Cardinals,Draft: Arizona Cardinals in the 7th round (240th overall) of the 2009 NFL Draft.,
Matt Cassel,6,4,225,USC,Chatsworth,CA,New England Patriots,Draft: New England Patriots in the 7th round (230th overall) of the 2005 NFL Draft.,
Dennis Pitta,6,4,245,BYU,Moorpark,CA,Baltimore Ravens,Draft: Baltimore Ravens in the 4th round (114th overall) of the 2010 NFL Draft.,
Austin Ekeler,5,10,200,Western St. (CO),Eaton,CO,,Pronunciation: \ECK-ler\,
Jerick McKinnon,5,9,209,Georgia Southern,Sprayberry,GA,Minnesota Vikings,Draft: Minnesota Vikings in the 3rd round (96th overall) of the 2014 NFL Draft.,
Chris Brown,6,3,235,Colorado,Naperville North,IL,Tennessee Titans,Draft: Tennessee Titans in the 3rd round (93rd overall) of the 2003 NFL Draft.,4/17/1981
Corey Davis,6,3,209,Western Michigan,Wheaton-Warrenville South,IL,Tennessee Titans,Draft: Tennessee Titans in the 1st round (5th overall) of the 2017 NFL Draft.,
Isaiah McKenzie,5,8,173,Georgia,American Heritage-Plantation,FL,Denver Broncos,Draft: Denver Broncos in the 5th round (172nd overall) of the 2017 NFL Draft.,
James Allen,,,,,,,,,
Dontrelle Inman,6,3,205,Virginia,Batesburg-Leesville,SC,,,
Ken Dilger,6,5,250,Illinois,Heritage Hills,IN,Indianapolis Colts,Draft: Indianapolis Colts in the 2nd round (48th overall) of the 1995 NFL Draft.,
Leonard Hankerson,6,1,205,Miami (FL),St. Thomas Aquinas,FL,Washington Redskins,Draft: Washington Redskins in the 3rd round (79th overall) of the 2011 NFL Draft.,
Troy Williamson,6,1,203,South Carolina,Silver Bluff,SC,Minnesota Vikings,Draft: Minnesota Vikings in the 1st round (7th overall) of the 2005 NFL Draft.,
Lance Moore,5,9,187,Toledo,Westerville South,OH,,"Twitter:
@LanceMoore16
",
Will Heller,,,,,,,,,
Kenny Pickett,6,3,220,Pittsburgh,Ocean Twp.,NJ,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 1st round (20th overall) of the 2022 NFL Draft.,
Paul Perkins,5,11,213,UCLA,Chandler,AZ,New York Giants,Draft: New York Giants in the 5th round (149th overall) of the 2016 NFL Draft.,
Evan Moore,6,7,232,Stanford,Brea-Olinda,CA,,"Twitter:
@evanmoore89
",
Kris Durham,6,5,215,Georgia,Calhoun,GA,Seattle Seahawks,Draft: Seattle Seahawks in the 4th round (107th overall) of the 2011 NFL Draft.,
Justin Herbert,6,6,236,Oregon,Sheldon,OR,Los Angeles Chargers,Draft: Los Angeles Chargers in the 1st round (6th overall) of the 2020 NFL Draft.,
Daryl Richardson,5,10,192,Abilene Christian,Sandalwood,FL,St. Louis Rams,Draft: St. Louis Rams in the 7th round (252nd overall) of the 2012 NFL Draft.,
Myles Gaskin,5,10,199,Washington,O'Dea,WA,Miami Dolphins,Draft: Miami Dolphins in the 7th round (234th overall) of the 2019 NFL Draft.,
Ricky Williams,5,10,226,Texas,Patrick Henry,CA,New Orleans Saints,Draft: New Orleans Saints in the 1st round (5th overall) of the 1999 NFL Draft.,5/21/1977
Chris Thompson,5,8,195,Florida St.,Madison County,FL,Washington Redskins,Draft: Washington Redskins in the 5th round (154th overall) of the 2013 NFL Draft.,10/20/1990
Jesse James,,,,,,,,,
Kenton Keith,5,11,198,New Mexico St.,Benson,NE,,,
Cedric Houston,6,0,220,Tennessee,Clarendon,AR,New York Jets,Draft: New York Jets in the 6th round (182nd overall) of the 2005 NFL Draft.,
Alex Van Pelt,6,1,220,Pittsburgh,Winston Churchill,TX,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 8th round (216th overall) of the 1993 NFL Draft.,5/1/1970
Austin Seferian-Jenkins,6,5,262,Washington,Gig Harbor,WA,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 2nd round (38th overall) of the 2014 NFL Draft.,
Taywan Taylor,5,11,203,Western Kentucky,Pleasure Ridge Park,KY,Tennessee Titans,Draft: Tennessee Titans in the 3rd round (72nd overall) of the 2017 NFL Draft.,
Michael Floyd,6,3,220,Michigan,Cooley,MI,Arizona Cardinals,Draft: Arizona Cardinals in the 1st round (13th overall) of the 2012 NFL Draft.,
Branden Oliver,5,8,208,Buffalo,Miami Southridge,FL,,,
Brandon Bolden,5,11,220,Mississippi,Scotlandville Magnet,LA,,,
Puka Nacua,6,2,205,Washington,Orem,UT,Los Angeles Rams,Draft: Los Angeles Rams in the 5th round (177th overall) of the 2023 NFL Draft.,
Greg Clark,6,4,251,Stanford,Viewmont,UT,San Francisco 49ers,Draft: San Francisco 49ers in the 3rd round (77th overall) of the 1997 NFL Draft.,4/7/1972
Marshawn Lynch,5,11,215,California,Oakland Tech,CA,Buffalo Bills,Draft: Buffalo Bills in the 1st round (12th overall) of the 2007 NFL Draft.,
Rachaad White,6,0,214,Nebraska-Kearney,Center,MO,Tampa Bay Buccaneers,Draft: Tampa Bay Buccaneers in the 3rd round (91st overall) of the 2022 NFL Draft.,
Lance Ball,5,9,223,Maryland,Teaneck,NJ,,"Twitter:
@LanceBall35
",
Richard Rodgers,6,4,257,California,St. John's,MA,Green Bay Packers,Draft: Green Bay Packers in the 3rd round (98th overall) of the 2014 NFL Draft.,
Jed Weaver,6,4,258,Oregon,Redmond,OR,Philadelphia Eagles,Draft: Philadelphia Eagles in the 7th round (208th overall) of the 1999 NFL Draft.,
Duke Johnson,5,9,210,Miami (FL),Norland,FL,Cleveland Browns,Draft: Cleveland Browns in the 3rd round (77th overall) of the 2015 NFL Draft.,
Albert Okwuegbunam,6,5,258,Missouri,Sacred Heart-Griffin,IL,Denver Broncos,Draft: Denver Broncos in the 4th round (118th overall) of the 2020 NFL Draft.,
Eric Ebron,6,4,253,North Carolina,Ben L. Smith,NC,Detroit Lions,Draft: Detroit Lions in the 1st round (10th overall) of the 2014 NFL Draft.,
Javonte Williams,5,10,220,North Carolina,Wallace-Rose Hill,NC,Denver Broncos,Draft: Denver Broncos in the 2nd round (35th overall) of the 2021 NFL Draft.,
Stacey Mack,6,1,241,Temple,William R. Boone,FL,,,
Tiquan Underwood,6,1,175,Rutgers,Notre Dame,NJ,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 7th round (253rd overall) of the 2009 NFL Draft.,
Hunter Henry,6,5,258,Arkansas,Pulaski Academy,AR,San Diego Chargers,Draft: San Diego Chargers in the 2nd round (35th overall) of the 2016 NFL Draft.,
Hayden Hurst,6,4,245,South Carolina,The Bolles School,FL,Baltimore Ravens,Draft: Baltimore Ravens in the 1st round (25th overall) of the 2018 NFL Draft.,
